NGC 2645                      ;Vel  ;08 39 03.6 -46 14 06.0;Op    ;OC   ;   21.60;  1668; 0.380; 7.580;MWSC 1520, Pismis 6, Waterloo 4, BH 50                                                                            ;
FSR 1251                      ;Hya  ;08 39 05.3 -07 32 24.0;IR    ;OCR  ;   22.80;  2839; 0.420; 9.200;MWSC 1521                                                                                                         ;
Waterloo 6                    ;Vel  ;08 40 22.8 -46 07 58.8;Op    ;OCR? ;    8.40;  2256; 0.100; 9.090;MWSC 1528                                                                                                         ;
FSR 1345                      ;Pyx  ;08 40 50.4 -25 22 30.0;IR    ;OC   ;   20.80;  2330; 1.750; 6.950;MWSC 1531                                                                                                         ;
Pismis 8                      ;Vel  ;08 41 39.4 -46 16 01.2;Op    ;OC   ;   13.80;  1363; 0.710; 7.430;MWSC 1533                                                                                                         ;
Ruprecht 67                   ;Vel  ;08 41 45.6 -43 23 42.0;Op    ;OC   ;   20.40;  1342; 0.500; 8.600;MWSC 1534                                                                                                         ;
NGC 2659                      ;Vel  ;08 42 34.1 -44 59 06.0;Op    ;OC   ;   14.40;  1713; 0.510; 7.360;MWSC 1538, Pismis 9                                                                                               ;
NGC 2658                      ;Pyx  ;08 43 30.0 -32 39 54.0;Op    ;OC   ;   27.60;  3123; 0.080; 8.980;MWSC 1542                                                                                                         ;
NGC 2670                      ;Vel  ;08 45 34.1 -48 49 12.0;Op    ;OC   ;   13.20;  1294; 0.440; 8.140;MWSC 1554                                                                                                         ;
FSR 1434                      ;Vel  ;08 45 28.8 -45 24 07.2;IR    ;OC   ;   20.40;  1367; 0.630; 9.040;MWSC 1555                                                                                                         ;
NGC 2671                      ;Vel  ;08 46 12.7 -41 52 01.2;Op    ;OC   ;   22.20;  1309; 0.980; 8.530;MWSC 1558                                                                                                         ;
NGC 2664                      ;Cnc  ;08 47 22.1 +12 36 00.0;Op    ;OCR? ;   22.80;  1659; 0.630; 8.290;MWSC 1565                                                                                                         ;
FSR 1418                      ;Vel  ;08 47 39.4 -43 59 56.4;IR    ;OC   ;   16.80;  1249; 0.520; 8.850;MWSC 1568                                                                                                         ;
FSR 1280                      ;Hya  ;08 48 26.9 -11 12 36.0;IR    ;OCR  ;   21.60;  1298; 0.420; 8.600;MWSC 1571                                                                                                         ;Poor RDP
Ruprecht 71                   ;Vel  ;08 49 20.9 -46 52 40.8;Op    ;OC   ;   18.60;  1300; 0.050; 8.840;MWSC 1574                                                                                                         ;
BH 54                         ;Vel  ;08 49 41.0 -44 22 01.2;Op    ;OC   ;   13.80;  1239; 0.730; 7.500;MWSC 1575                                                                                                         ;
[CV98] 1                      ;Cnc  ;08 50 07.0 +11 56 42.0;Op    ;OCR  ;    5.00;  1783; 0.790; 7.100;MWSC 1578, Chupina 1                                                                                              ;
[CV98] 2                      ;Cnc  ;08 50 22   +12 18 30  ;Op    ;OCR? ;    6.00;      ;      ;      ;MWSC 1581, Chupina 2                                                                                              ;
[CV98] 3                      ;Cnc  ;08 51 17   +11 25 12  ;Op    ;OCR? ;    9.00;      ;      ;      ;MWSC 1586, Chupina 3                                                                                              ;
[CV98] 4                      ;Cnc  ;08 51 50   +12 23 48  ;Op    ;OCR? ;   14.00;      ;      ;      ;MWSC 1590, Chupina 4                                                                                              ;
[CV98] 5                      ;Cnc  ;08 52 50   +11 54 42  ;Op    ;OCR? ;   14.00;      ;      ;      ;MWSC 1596, Chupina 5                                                                                              ;
FSR 1435                      ;Vel  ;08 57 05.3 -43 45 54.0;IR    ;OC   ;   27.60;  1296; 2.600; 6.000;MWSC 1604, SAI 98                                                                                                 ;
Muzzio 1                      ;Vel  ;08 57 57.6 -47 41 42.0;Op    ;OC   ;   21.60;  1394; 1.490; 6.500;MWSC 1606, FSR 1456                                                                                               ;
FSR 1450                      ;Vel  ;08 58 24.5 -46 18 10.8;IR    ;OC   ;   13.80;  1379; 1.560; 8.400;MWSC 1609, SAI 100                                                                                                ;
FSR 1402                      ;Vel  ;09 05 45.6 -37 52 30.0;IR    ;OC   ;   23.40;  2889; 1.850; 7.400;MWSC 1626, SAI 102                                                                                                ;
FSR 1460                      ;Vel  ;09 07 38.9 -47 49 30.0;IR    ;OC   ;   20.40;  1285; 1.040; 8.840;MWSC 1628, SAI 103                                                                                                ;
ESO 261-3                     ;Vel  ;09 11 18.5 -47 03 36.0;Op    ;OC   ;   17.40;  1063; 0.520; 8.620;MWSC 1634                                                                                                         ;
FSR 1468                      ;Vel  ;09 11 47.3 -48 04 12.0;IR    ;OC   ;   15.00;  1005; 0.900; 8.300;MWSC 1635                                                                                                         ;
FSR 1579                      ;Cha  ;09 13 40.8 -77 25 30.0;IR    ;OCR? ;   18.00;  1000; 0.000; 9.500;MWSC 1638                                                                                                         ;
FSR 532                       ;Cep  ;02 05 11.3 +81 12 14.4;IR    ;OCR  ;   21.60;  2589; 0.420; 9.150;MWSC 164                                                                                                          ;Very sparse
FSR 1474                      ;Vel  ;09 14 40.1 -49 44 42.0;IR    ;OC   ;   12.00;  1079; 1.040; 7.530;MWSC 1640                                                                                                         ;
IC 2488                       ;Vel  ;09 27 39.6 -57 00 00.0;Op    ;OC   ;   27.00;  1138; 0.210; 8.450;MWSC 1671                                                                                                         ;
Ruprecht 78                   ;Vel  ;09 29 02.4 -53 42 36.0;Op    ;OC   ;   15.00;  1706; 0.440; 7.250;MWSC 1675                                                                                                         ;
NGC 2910                      ;Vel  ;09 30 28.8 -52 55 30.0;Op    ;OC   ;   15.00;  1882; 0.400; 7.200;MWSC 1679                                                                                                         ;
Basel 20                      ;Vel  ;09 30 59.3 -56 25 48.0;Op    ;OC   ;   16.80;  1380; 0.630; 7.500;MWSC 1680                                                                                                         ;
FSR 1489                      ;Vel  ;09 33 15.8 -51 11 42.0;IR    ;OC   ;   13.80;  1211; 0.730; 9.020;MWSC 1687                                                                                                         ;
FSR 1507                      ;Vel  ;09 33 55.7 -56 14 52.8;IR    ;OC   ;   12.60;  1445; 0.630; 8.800;MWSC 1689                                                                                                         ;
NGC 2972                      ;Vel  ;09 40 13.7 -50 19 30.0;Op    ;OC   ;   13.20;  1778; 0.560; 8.730;MWSC 1699, NGC 2999                                                                                               ;
Ruprecht 79                   ;Vel  ;09 40 55.2 -53 51 00.0;Op    ;OC   ;   18.60;  1991; 0.700; 7.270;MWSC 1701                                                                                                         ;
NGC 2982                      ;Vel  ;09 42 03.6 -44 01 12.0;Op    ;OC   ;   13.20;  2183; 0.390; 8.430;MWSC 1703, Ruprecht 80                                                                                            ;
NGC 3033                      ;Vel  ;09 48 30.5 -56 25 30.0;Op    ;OC   ;   15.00;  1020; 0.330; 8.620;MWSC 1715                                                                                                         ;
Pismis 16                     ;Vel  ;09 51 15.4 -53 10 22.8;Op    ;OC   ;    9.00;  1949; 0.630; 7.100;MWSC 1721                                                                                                         ;
FSR 1475                      ;Vel  ;09 54 34.1 -42 14 06.0;IR    ;OC   ;   24.00;  2662; 0.420; 9.150;MWSC 1726                                                                                                         ;
FSR 1521                      ;Vel  ;09 55 19.2 -56 36 54.0;IR    ;OC   ;   16.80;  1499; 0.380; 8.710;MWSC 1727, SAI 111                                                                                                ;
Hogg 4                        ;Vel  ;09 57 52.1 -54 37 30.0;Op    ;OC   ;   11.40;  1772; 0.330; 8.300;MWSC 1734                                                                                                         ;
Ruprecht 85                   ;Vel  ;10 01 40.8 -55 00 54.0;Op    ;OC   ;   12.00;  1286; 0.170; 8.700;MWSC 1746, BH 83, FSR 1520                                                                                        ;
Basel 10                      ;Per  ;02 19 29.5 +58 18 14.4;Op    ;OCR? ;    9.00;  2000; 0.770; 7.600;MWSC 176, FSR 586                                                                                                 ;
Loden 46                      ;Vel  ;10 23 11.3 -54 50 24.0;Op    ;OC   ;   15.00;  1184; 0.420; 8.000;MWSC 1798                                                                                                         ;
Loden 112                     ;Vel  ;10 32 20.4 -56 41 42.0;Op    ;OC   ;   17.40;  2430; 0.790; 6.960;MWSC 1820                                                                                                         ;
NGC 3330                      ;Vel  ;10 38 45.6 -54 06 54.0;Op    ;OC   ;   17.40;  1250; 0.050; 8.570;MWSC 1835, Harvard 4                                                                                              ;
FSR 1511                      ;Vel  ;10 39 57.6 -43 07 26.4;IR    ;OCR? ;   22.80;  2473; 0.100; 9.420;MWSC 1837                                                                                                         ;
NGC 3446                      ;Vel  ;10 52 17.3 -45 07 30.0;Op    ;OCR? ;   24.60;  2001; 0.290; 9.110;MWSC 1862                                                                                                         ;
