Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
Cep OB3                       ;Cep  ;23 03 55.7 +63 23 24.0;Op    ;OB   ;   70.80;   668; 0.550; 7.750;MWSC 3691, COCD 510                                                                                               ;Multicenter association
ASCC 126                      ;And  ;23 05 49.2 +51 04 12.0;Op    ;OC   ;   33.60;   900; 0.100; 7.450;MWSC 3699                                                                                                         ;
[BDS2003] 148                 ;Tau  ;04 21 12   +27 38 50  ;IR    ;OC?  ;   80.00;      ;      ;      ;MWSC 370, LDN 1495 / B 217 T St Gr, AG 1                                                                          ;
ASCC 127                      ;Cep  ;23 08 49.4 +64 50 42.0;Op    ;OCR? ;   81.00;   400; 0.150; 7.820;MWSC 3704                                                                                                         ;
FSR 430                       ;Cep  ;23 15 25.4 +64 09 18.0;IR    ;OC   ;   16.20;   871; 0.630; 8.880;MWSC 3713, SAI 148, Saloranta J2315.5+6410                                                                        ;
ASCC 128                      ;Cas  ;23 21 07.2 +54 40 12.0;Op    ;OC   ;   27.60;   900; 0.200; 8.450;MWSC 3720                                                                                                         ;
[BDSB2003] 44                 ;Cas  ;23 20 42.7 +61 12 00.0;IR    ;OC   ;   15.60;  2500; 0.900; 6.870;MWSC 3721, Cas II, Cas T2                                                                                         ;
NGC 7654                      ;Cas  ;23 24 42.5 +61 38 13.2;Op    ;OC   ;   39.00;  1350; 0.650; 7.900;MWSC 3725, M 52                                                                                                   ;
ASCC 129                      ;Cas  ;23 28 06.5 +55 36 46.8;Op    ;OC   ;   31.20;  2000; 0.300; 9.050;MWSC 3730, Alessi 70, Alessi J2327+55                                                                             ;
FSR 442                       ;Cas  ;23 30 00.0 +63 26 06.0;IR    ;OC   ;   21.60;  1252; 1.440; 9.000;MWSC 3732                                                                                                         ;
NGC 7686                      ;And  ;23 29 41.3 +49 10 12.0;Op    ;OC   ;   13.20;  2100; 0.400; 9.050;MWSC 3734                                                                                                         ;
Skiff 7                       ;Cas  ;23 30 18.0 +60 14 49.2;Op    ;OC   ;   16.80;  1801; 1.310; 8.400;MWSC 3735, Skiff J2330+60.2, FSR 436                                                                              ;
FSR 435                       ;Cas  ;23 31 13.7 +59 46 30.0;IR    ;OC   ;   16.80;   805; 0.530; 8.350;MWSC 3736                                                                                                         ;
Stock 11                      ;Cas  ;23 31 22.8 +55 48 46.8;Op    ;OC   ;   13.00;  1600; 0.350; 9.090;MWSC 3738                                                                                                         ;
Stock 12                      ;Cas  ;23 35 34.8 +52 41 06.0;Op    ;OC   ;   60.00;   430; 0.050; 8.450;MWSC 3743                                                                                                         ;
Aveni-Hunter 1                ;And  ;23 37 10.1 +48 33 00  ;IR    ;OC   ;   48.00;   500; 0.100; 8.190;MWSC 3747, And I, And T1                                                                                          ;
Stock 17                      ;Cas  ;23 43 47.3 +62 09 54.0;Op    ;OC   ;   10.80;  2400; 0.700; 7.000;MWSC 3754                                                                                                         ;
King 11                       ;Cep  ;23 47 45.6 +68 38 52.8;Op    ;OC   ;   36.00;  2850; 0.950; 9.320;MWSC 3759                                                                                                         ;
Alessi 22                     ;And  ;23 48 07   +36 12 18  ;Op    ;OC?  ;   82.00;      ;      ;      ;MWSC 3761                                                                                                         ;
[PTB93] 9                     ;Cep  ;23 50 00.5 +68 01 58.8;IR    ;OC   ;   35.40;   850; 0.700; 9.070;MWSC 3763, [BDS2003] 92                                                                                           ;
NGC 7772                      ;Peg  ;23 51 46.1 +16 14 42.0;Op    ;OCR  ;   54.00;  1250; 0.450; 9.160;MWSC 3767                                                                                                         ;
ASCC 130                      ;Cas  ;23 52 42.5 +62 26 52.8;Op    ;OC   ;   16.80;  3500; 0.600; 7.240;MWSC 3768                                                                                                         ;
Cas OB5                       ;Cas  ;23 53 14   +61 23 00  ;Op    ;OB   ;  100.00;  2280;      ;      ;MWSC 3773                                                                                                         ;Large multicenter association
NGC 7788                      ;Cas  ;23 56 42.2 +61 23 49.2;Op    ;OC   ;   14.40;  2200; 0.490; 7.480;MWSC 3777                                                                                                         ;
FSR 469                       ;Cas  ;23 57 04   +65 24 52  ;IR    ;OC   ;    4.80;   800;      ;      ;MWSC 3778, SAI 152, IRAS 23545+6508, KKC 54                                                                       ;
NGC 7789                      ;Cas  ;23 57 25.2 +56 43 48.0;Op    ;OC   ;   49.80;  1800; 0.220; 9.270;MWSC 3779                                                                                                         ;
NGC 7762                      ;Cep  ;23 49 51.6 +68 01 30.0;Op    ;OC   ;   25.60;   780; 0.550; 9.320;MWSC 3784                                                                                                         ;
Hyades                        ;Tau  ;04 26 54   +15 52 00  ;Op    ;OC   ;  330.00;    47;      ; 8.800;MWSC 379, Melotte 25                                                                                              ;
NGC 104                       ;Tuc  ;00 24 01.0 -72 04 51.6;Op    ;GC   ;  114.00;  4501; 0.040;10.100;MWSC 38, 47 Tuc                                                                                                   ;
[BW88] 1                      ;Per  ;04 30 11.0 +35 16 44.4;Op    ;OC   ;   50.40;   730; 2.960; 6.580;MWSC 385, NGC 1579 IR Cl, [BDS2003] 143, Per III, Per T3                                                          ;
Taurus VI                     ;Tau  ;04 31 24   +18 18 53  ;IR    ;YAs  ;  270.00;   140;      ; 6.180;MWSC 387, Taurus VI T St Gr, LDN 1551 T St Gr, [BDS2003] 163                                                      ;
NGC 1582                      ;Per  ;04 31 30.0 +43 47 24.0;Op    ;OC   ;   49.20;  1000; 0.200; 8.670;MWSC 388                                                                                                          ;
Stock 20                      ;Cas  ;00 25 15.1 +62 36 07.2;Op    ;OC   ;   16.80;  1100; 0.200; 8.340;MWSC 39                                                                                                           ;
Taurus IV                     ;Tau  ;04 32 01   +24 24 16  ;IR    ;YAs  ;  250.00;   140;      ; 6.180;MWSC 390, Taurus IV T St Gr, TMC-2 T St Gr, LDN 1529 T St Gr, [BDS2003] 158                                       ;
Tau-Aur T assoc               ;Tau  ;04 32 33   +26 04 37  ;IR    ;YAs? ; 1080.00;      ;      ;      ;MWSC 392, [BDS2003] 151                                                                                           ;
[PLK98] 2                     ;Cam  ;04 37 48.0 +71 28 12.0;Op    ;OC   ;  270.00;   170; 0.000; 8.800;MWSC 395, Platais 3                                                                                               ;
NGC 1641                      ;Ret  ;04 35 25.7 -65 44 24.0;Op    ;OCR  ;   31.20;   985; 0.100; 9.520;MWSC 396                                                                                                          ;Very sparse
Taurus V                      ;Tau  ;04 35 50   +22 54 06  ;IR    ;YAs  ;   80.00;   140;      ; 6.180;MWSC 398, Taurus V T St Gr, LDN 1536 T St Gr, [BDS2003] 161                                                       ;
Stock 18                      ;Cas  ;00 01 35.3 +64 37 30.0;Op    ;OC   ;    9.60;   774; 0.180; 8.680;MWSC 4                                                                                                            ;
Taurus III                    ;Tau  ;04 39 04   +25 30 53  ;IR    ;YAs  ;   95.00;   140;      ; 6.180;MWSC 405, Taurus III T St Gr, TMC-1 T St Gr, Heiles 2 T St Gr, [BDS2003] 159                                      ;
