      ;58-840-1    ;046.7361535992;+03.0338025933;  2.69; 0.82;   -8.104; 1.202;  -13.049; 0.631;11.542
      ;58-1000-1   ;046.7284634495;+03.0550048572;  3.43; 0.87;   20.093; 1.326;   -6.473; 0.712;11.421
      ;58-1088-1   ;046.7265898704;+03.1030946754;  4.08; 0.87;   -1.915; 0.940;    1.243; 0.567;10.161
 14348;            ;046.2616943392;+02.9411613118;  4.57; 0.38;   14.998; 0.055;   -4.223; 0.042; 8.205
      ;58-892-1    ;045.8145052793;+02.9022140725;  3.93; 0.29;    2.423; 2.413;    0.567; 0.926;10.278
      ;58-871-1    ;046.0518569641;+03.2386755664;  0.65; 0.30;    4.204; 2.038;   -2.628; 0.996;11.472
 14443;            ;046.6065263933;+03.2643495040;  6.15; 0.38;  -14.520; 0.063;  -41.681; 0.052; 8.047
      ;58-1198-1   ;046.4864534527;+03.2605889363;  5.58; 0.64;   25.572; 0.878;  -22.420; 1.539; 9.909
      ;58-581-1    ;046.5207485059;+03.3814807216;  0.82; 0.27;    3.009; 1.616;   -6.474; 0.826;11.276
      ;48-263-1    ;043.5527796499;+01.2872538914;  2.35; 0.99;    3.384; 2.004;  -12.051; 2.405; 9.405
      ;48-627-1    ;043.6819122497;+01.3111474865;  2.04; 0.31;    8.785; 4.408;   -7.130; 2.288;10.531
      ;48-194-1    ;043.4164693123;+01.4588183252;  4.16; 0.22;  -39.244; 1.647;  -31.889; 0.857;10.922
      ;48-205-1    ;043.5337998765;+01.4469847579;  2.25; 0.36;   11.039; 2.066;   -7.268; 1.096;11.564
      ;48-106-1    ;043.3609122685;+01.5295404753;  0.71; 0.27;    0.802; 2.004;    0.312; 1.060;10.438
      ;48-619-1    ;043.5142339637;+01.6056719466;  0.67; 0.24;    1.672; 3.057;    1.936; 1.452;10.227
      ;48-957-1    ;043.9782072617;+01.6253641487;  1.45; 0.44;   12.972; 2.545;  -24.023; 1.287;12.112
      ;48-802-1    ;043.9695913780;+01.6427349671;  3.59; 0.27;   11.287; 1.984;    8.767; 1.036;11.008
      ;48-670-1    ;043.9609991979;+01.7237375073;  2.29; 0.29;    5.503; 2.164;  -41.613; 1.136;11.740
      ;48-729-1    ;044.1568435073;+01.7528370855;  1.71; 0.38;   -3.229; 1.140;   -6.549; 0.739; 9.774
      ;48-888-1    ;044.0480021985;+01.7661308330;  2.25; 0.27;   -5.781; 2.393;   -4.711; 1.235;11.407
      ;48-374-1    ;043.7614650283;+01.8877968644;  0.39; 0.46;   -2.355; 2.272;  -11.713; 1.150;11.731
      ;48-71-1     ;043.3685530198;+01.6210277492;  5.86; 0.26;   -6.766; 1.860;   -1.516; 0.915;11.308
      ;48-615-1    ;043.0960921852;+01.6364833119;  2.71; 0.33;   19.317; 2.967;  -13.687; 1.396;11.319
      ;48-200-1    ;043.1957768417;+01.7313724190;  4.17; 0.26;   15.843; 1.401;    0.958; 0.721; 9.841
 13481;            ;043.4040786549;+01.8778905475;  8.93; 0.27;   99.277; 0.159;   35.523; 0.152; 9.217
      ;48-512-1    ;043.0471900667;+01.7836725499;  5.83; 0.24;  103.044; 1.707;   17.744; 0.867; 9.583
 13386;            ;043.0632131380;+01.9289479543;  6.28; 0.25;   17.317; 0.132;    1.943; 0.134; 9.017
      ;48-219-1    ;043.5370699587;+01.9539707666;  7.98; 0.34;   42.349; 2.288;   57.070; 1.163;11.454
      ;48-787-1    ;043.8290521812;+02.0888878065;  4.41; 0.50;  -34.210; 3.663;  -34.145; 1.749;11.352
 13482;            ;043.4090995448;+01.9686892939;  8.15; 0.26;  -38.646; 0.053; -150.605; 0.049; 6.383
      ;48-1041-1   ;044.3580687284;+02.2204351921;  0.46; 0.31;    2.398; 1.800;   -6.841; 0.859;11.891
      ;48-915-1    ;044.3691952368;+02.2552088174;  2.41; 0.23;  -12.938; 1.470;  -20.670; 0.708;10.002
      ;48-808-1    ;044.3212039519;+02.2676569452;  0.88; 0.36;    0.333; 2.225;   -1.607; 1.077;10.996
